iter	Passed	Remaining
0	83	41894
1	147	36671
2	222	36914
3	286	35483
4	348	34527
5	411	33869
6	475	33515
7	540	33261
8	603	32903
9	668	32765
10	738	32832
11	808	32860
12	877	32875
13	948	32943
14	1015	32830
15	1084	32799
16	1150	32698
17	1213	32496
18	1278	32371
19	1343	32238
20	1409	32144
21	1497	32546
22	1561	32386
23	1622	32177
24	1685	32023
25	1747	31854
26	1808	31686
27	1869	31519
28	1929	31336
29	1994	31251
30	2061	31187
31	2129	31144
32	2191	31009
33	2256	30931
34	2317	30793
35	2376	30629
36	2434	30464
37	2492	30302
38	2552	30167
39	2610	30023
40	2669	29879
41	2729	29760
42	2786	29619
43	2844	29478
44	2902	29343
45	2961	29232
46	3021	29121
47	3078	28990
48	3139	28897
49	3199	28798
50	3259	28697
51	3321	28617
52	3380	28512
53	3440	28412
54	3498	28303
55	3556	28200
56	3614	28095
57	3674	28004
58	3731	27891
59	3789	27791
60	3849	27705
61	3908	27614
62	3968	27530
63	4029	27447
64	4089	27367
65	4149	27284
66	4209	27206
67	4267	27110
68	4327	27028
69	4388	26955
70	4452	26900
71	4517	26852
72	4580	26791
73	4644	26734
74	4707	26678
75	4769	26608
76	4834	26560
77	4898	26501
78	4961	26438
79	5021	26360
80	5084	26300
81	5155	26280
82	5222	26236
83	5283	26164
84	5345	26097
85	5422	26103
86	5491	26070
87	5553	26002
88	5614	25929
89	5678	25866
90	5743	25815
91	5802	25733
92	5864	25665
93	5929	25609
94	5991	25543
95	6057	25490
96	6123	25441
97	6190	25392
98	6252	25325
99	6317	25268
100	6380	25206
101	6440	25130
102	6504	25069
103	6570	25020
104	6633	24956
105	6694	24882
106	6755	24810
107	6819	24751
108	6882	24688
109	6946	24630
110	7005	24549
111	7063	24468
112	7122	24394
113	7182	24318
114	7244	24252
115	7309	24197
116	7371	24130
117	7432	24062
118	7493	23991
119	7554	23923
120	7618	23862
121	7716	23908
122	7779	23845
123	7844	23786
124	7910	23732
125	7978	23682
126	8041	23616
127	8101	23543
128	8162	23474
129	8226	23412
130	8291	23354
131	8353	23289
132	8417	23228
133	8482	23168
134	8552	23123
135	8615	23059
136	8679	22997
137	8741	22930
138	8806	22871
139	8866	22800
140	8926	22728
141	8987	22659
142	9047	22586
143	9108	22517
144	9172	22455
145	9232	22385
146	9295	22322
147	9359	22260
148	9427	22208
149	9495	22157
150	9568	22116
151	9632	22053
152	9691	21980
153	9752	21911
154	9814	21845
155	9876	21778
156	9938	21713
157	10008	21663
158	10072	21601
159	10128	21523
160	10189	21454
161	10249	21384
162	10312	21321
163	10376	21260
164	10439	21195
165	10499	21126
166	10559	21055
167	10620	20987
168	10682	20922
169	10748	20864
170	10818	20814
171	10885	20759
172	10948	20695
173	11017	20641
174	11088	20593
175	11155	20536
176	11216	20467
177	11279	20404
178	11341	20338
179	11402	20270
180	11464	20205
181	11523	20134
182	11583	20066
183	11646	20001
184	11708	19936
185	11775	19878
186	11838	19815
187	11901	19751
188	11966	19691
189	12035	19636
190	12098	19572
191	12162	19511
192	12223	19443
193	12288	19382
194	12349	19315
195	12410	19249
196	12472	19183
197	12534	19117
198	12594	19049
199	12651	18977
200	12715	18914
201	12772	18842
202	12834	18777
203	12897	18714
204	12958	18647
205	13016	18577
206	13075	18507
207	13137	18443
208	13197	18376
209	13258	18309
210	13320	18244
211	13380	18177
212	13443	18114
213	13506	18050
214	13567	17985
215	13627	17917
216	13691	17856
217	13754	17792
218	13817	17728
219	13878	17663
220	13938	17596
221	13996	17526
222	14063	17468
223	14130	17410
224	14196	17351
225	14263	17292
226	14327	17230
227	14392	17169
228	14454	17105
229	14516	17041
230	14581	16980
231	14647	16919
232	14712	16859
233	14773	16793
234	14835	16729
235	14897	16665
236	14956	16596
237	15016	16531
238	15074	16461
239	15130	16391
240	15187	16322
241	15243	16251
242	15298	16179
243	15357	16112
244	15418	16047
245	15477	15980
246	15536	15913
247	15597	15848
248	15658	15784
249	15719	15719
250	15776	15650
251	15833	15582
252	15894	15517
253	15956	15453
254	16018	15390
255	16080	15326
256	16142	15263
257	16203	15198
258	16265	15135
259	16325	15069
260	16381	15000
261	16439	14933
262	16512	14880
263	16587	14827
264	16643	14759
265	16703	14694
266	16775	14639
267	16834	14573
268	16891	14505
269	16954	14442
270	17019	14381
271	17083	14319
272	17147	14257
273	17208	14193
274	17266	14127
275	17327	14062
276	17387	13998
277	17449	13934
278	17514	13873
279	17578	13811
280	17637	13746
281	17701	13684
282	17765	13622
283	17830	13560
284	17889	13495
285	17950	13431
286	18011	13367
287	18068	13300
288	18125	13233
289	18186	13169
290	18248	13106
291	18312	13044
292	18370	12978
293	18428	12912
294	18485	12846
295	18543	12779
296	18606	12717
297	18672	12656
298	18746	12602
299	18804	12536
300	18865	12472
301	18926	12408
302	18985	12343
303	19048	12281
304	19110	12218
305	19174	12156
306	19236	12093
307	19301	12031
308	19363	11968
309	19427	11907
310	19494	11847
311	19558	11785
312	19619	11721
313	19683	11659
314	19741	11594
315	19804	11531
316	19864	11467
317	19924	11403
318	19984	11339
319	20044	11275
320	20104	11210
321	20165	11147
322	20227	11084
323	20289	11021
324	20347	10956
325	20410	10894
326	20469	10829
327	20528	10764
328	20592	10703
329	20649	10637
330	20709	10573
331	20767	10508
332	20826	10444
333	20897	10386
334	20959	10323
335	21020	10259
336	21079	10195
337	21134	10129
338	21192	10064
339	21247	9998
340	21302	9932
341	21361	9868
342	21420	9804
343	21482	9742
344	21546	9680
345	21606	9616
346	21669	9554
347	21729	9491
348	21800	9432
349	21862	9369
350	21922	9306
351	21989	9245
352	22048	9181
353	22107	9117
354	22169	9055
355	22243	8997
356	22311	8937
357	22372	8874
358	22436	8812
359	22500	8750
360	22559	8686
361	22621	8623
362	22684	8561
363	22746	8498
364	22809	8436
365	22873	8374
366	22951	8317
367	23016	8255
368	23080	8193
369	23144	8131
370	23206	8069
371	23273	8008
372	23334	7945
373	23395	7881
374	23455	7818
375	23520	7756
376	23582	7693
377	23645	7631
378	23705	7568
379	23769	7506
380	23835	7444
381	23900	7382
382	23960	7319
383	24025	7257
384	24091	7196
385	24161	7135
386	24224	7073
387	24288	7011
388	24353	6949
389	24417	6886
390	24479	6824
391	24536	6760
392	24601	6698
393	24664	6635
394	24724	6572
395	24784	6509
396	24839	6444
397	24895	6380
398	24956	6317
399	25016	6254
400	25080	6191
401	25149	6131
402	25209	6067
403	25269	6004
404	25327	5941
405	25388	5878
406	25447	5814
407	25508	5751
408	25569	5689
409	25628	5625
410	25688	5562
411	25743	5498
412	25802	5435
413	25857	5371
414	25917	5308
415	25973	5244
416	26028	5180
417	26087	5117
418	26155	5056
419	26211	4992
420	26270	4929
421	26330	4866
422	26388	4803
423	26446	4740
424	26504	4677
425	26565	4614
426	26624	4551
427	26684	4488
428	26741	4425
429	26795	4362
430	26852	4298
431	26913	4236
432	26973	4173
433	27035	4111
434	27104	4050
435	27164	3987
436	27218	3923
437	27276	3861
438	27334	3798
439	27401	3736
440	27460	3673
441	27518	3611
442	27577	3548
443	27637	3485
444	27696	3423
445	27750	3359
446	27809	3297
447	27867	3234
448	27939	3173
449	27998	3110
450	28056	3048
451	28115	2985
452	28171	2922
453	28227	2860
454	28286	2797
455	28346	2735
456	28416	2673
457	28479	2611
458	28543	2549
459	28606	2487
460	28665	2425
461	28727	2362
462	28788	2300
463	28846	2238
464	28907	2175
465	28978	2114
466	29039	2052
467	29104	1990
468	29165	1927
469	29222	1865
470	29281	1802
471	29335	1740
472	29394	1677
473	29464	1616
474	29525	1553
475	29585	1491
476	29646	1429
477	29707	1367
478	29766	1304
479	29825	1242
480	29884	1180
481	29941	1118
482	30000	1055
483	30058	993
484	30113	931
485	30176	869
486	30261	807
487	30331	745
488	30391	683
489	30466	621
490	30530	559
491	30591	497
492	30648	435
493	30709	372
494	30768	310
495	30827	248
496	30891	186
497	30966	124
498	31022	62
499	31085	0
